"ID","Player","Team","Position","RkOv","Status","Age","Opponent","Salary","Contract","FPts","FP/G","Bye","Ros %","GP","BFGTD","BPTD","TDST"
"*01toc*","Everson Griffen","MIN","DL","792","FA","35","Bye","500,000","9th","39.5","4.39","","12%","9","0","0","0"
"*04owp*","Sean Chandler","CAR","DB","791","FA","26","CAR 10<br/>@NO 7 F","500,000","1st","39.5","2.63","13","0%","15","0","0","0"
"*05jb9*","Terrell Lewis","LAR/CHI","DL,LB","793","FA","24","MIN 29<br/>@CHI 13 F","500,000","1st","39.5","3.59","14","0%","11","0","0","0"
"*04zwm*","Duke Shelley","MIN","DB","794","FA","26","MIN 29<br/>@CHI 13 F","500,000","1st","39.5","3.95","6","0%","10","0","0","0"
"*040dy*","Vernon Hargreaves","(N/A)","DB","796","FA","27","Bye","500,000","9th","39.3","3.27","","0%","12","0","0","0"
"*05ju8*","A.J. Green","CLE","DB","797","FA","24","CLE 14<br/>@PIT 28 F","500,000","1st","39.1","3.26","9","0%","12","0","0","0"
"*05jdi*","Michael Danna","KC","DL","798","FA","25","KC 31<br/>@LV 13 F","500,000","1st","39","2.29","8","0%","17","0","0","0"
"*05rqu*","Roy Lopez","HOU","DL","799","FA","25","HOU 32<br/>@IND 31 F","500,000","1st","39","2.44","6","0%","16","0","0","0"
"*04oge*","Kemoko Turay","SF","DL","800","FA","27","ARI 13<br/>@SF 38 F","500,000","1st","39","3.25","9","0%","12","0","0","0"
"*02zua*","Brandon Williams","KC","DL","801","FA","34","KC 31<br/>@LV 13 F","500,000","9th","39","3","","0%","13","0","0","0"
"*04cam*","Jabrill Peppers","NE","DB","802","RBM","27","NE 23<br/>@BUF 35 F","500,000","2nd","38.8","6.47","10","38%","6","0","0","0"
"*04mpb*","DeShon Elliott","DET","DB","806","FA","25","DET 20<br/>@GB 16 F","500,000","9th","38.5","6.42","11","50%","6","0","0","0"
"*04ohx*","Dane Cruikshank","CHI","DB","804","FA","27","MIN 29<br/>@CHI 13 F","500,000","1st","38.5","2.75","","0%","14","0","0","0"
"*02zw4*","Steven Means","BAL","DL,LB","807","FA","32","Bye","500,000","9th","38.5","2.75","","0%","14","0","0","0"
"*03oig*","Jordan Phillips","BUF","DL","808","FA","30","NE 23<br/>@BUF 35 F","500,000","1st","38.5","4.28","7","0%","9","0","0","0"
"*05jet*","James Smith-Williams","WAS","DL","809","FA","25","DAL 6<br/>@WAS 26 F","500,000","1st","38.5","2.96","14","0%","13","0","0","0"
"*04ohu*","Tre Flowers","CIN","DB","814","FA","27","BAL 16<br/>@CIN 27 F","500,000","1st","38","2.38","","0%","16","0","0","0"
"*05jg6*","Tershawn Wharton","KC","DL","815","FA","24","KC 31<br/>@LV 13 F","500,000","1st","38","2.24","8","0%","17","0","0","0"
"*05jei*","Chris Claybrooks","JAX","DB","816","FA","25","TEN 16<br/>@JAX 20 F","500,000","1st","37.8","2.36","11","0%","16","0","0","0"
"*05je0*","Markus Bailey","CIN","LB","817","FA","26","BAL 16<br/>@CIN 27 F","500,000","1st","37.5","2.34","10","0%","16","0","0","0"
"*040k0*","Stephen Weatherly","CLE","DL,LB","818","FA","29","CLE 14<br/>@PIT 28 F","500,000","1st","37.5","2.5","","0%","15","0","0","0"
"*03p1i*","DeShawn Williams","DEN","DL","819","FA","30","LAC 28<br/>@DEN 31 F","500,000","1st","37.5","2.5","13","0%","15","0","0","0"
"*05jak*","Marlon Davidson","ATL","DL","821","FA","24","Bye","500,000","9th","37.3","3.39","","0%","11","0","0","0"
"*05jc5*","Jaylinn Hawkins","ATL","DB","822","FA","25","TB 17<br/>@ATL 30 F","500,000","1st","37.1","2.65","14","25%","14","0","0","0"
"*05j9n*","Chase Young","WAS","DL","826","LCS","23","DAL 6<br/>@WAS 26 F","625,000","3rd","37","4.11","14","88%","9","0","0","0"
"*040si*","Morgan Fox","LAC","DL","824","FA","28","LAC 28<br/>@DEN 31 F","500,000","1st","37","2.18","8","25%","17","0","0","0"
"*040g3*","Kyler Fackrell","BAL","LB","823","FA","31","Bye","500,000","9th","37","2.85","","0%","13","0","0","0"
"*05rof*","Darren Hall","ATL","DB","825","FA","22","TB 17<br/>@ATL 30 F","500,000","1st","37","2.64","14","0%","14","0","0","0"
"*05jb8*","Julian Blackmon","IND","DB","828","FA","24","HOU 32<br/>@IND 31 F","500,000","1st","36.5","6.08","14","12%","6","0","0","0"
"*02j8i*","Whitney Mercilus","GB","DL,LB","829","FA","32","DET 20<br/>@GB 16 F","500,000","1st","36.5","3.65","14","0%","10","0","0","0"
"*04mp5*","Tyquan Lewis","IND","DL","830","FA","28","HOU 32<br/>@IND 31 F","500,000","1st","36.3","4.54","14","12%","8","0","0","0"
"*040w2*","Andrew Adams","PIT/TEN","DB","831","FA","30","TEN 16<br/>@JAX 20 F","500,000","1st","36.2","2.59","","0%","14","0","0","0"
"*040h6*","David Onyemata","NO","DL","834","FA","30","CAR 10<br/>@NO 7 F","500,000","1st","36","3.27","14","25%","11","0","0","0"
"*04cbv*","Kevin King","(N/A)","DB","833","FA","27","Bye","500,000","9th","36","3.6","","12%","10","0","0","0"
"*03chj*","Devon Kennard","ARI/BAL","LB","832","FA","31","BAL 16<br/>@CIN 27 F","500,000","1st","36","2.4","10","0%","15","0","0","0"
"*05jbn*","Davion Taylor","PHI","LB","835","FA","24","NYG 16<br/>@PHI 22 F","500,000","1st","36","4","7","0%","9","0","0","0"
"*02j8c*","Melvin Ingram","MIA","DL,LB","842","FA","33","NYJ 6<br/>@MIA 11 F","500,000","1st","35.5","2.37","","25%","15","0","0","0"
"*030k2*","A.J. Bouye","(N/A)","DB","840","FA","31","Bye","500,000","9th","35.5","3.55","","0%","10","0","0","0"
"*04mpy*","Oren Burks","SF","LB","841","FA","28","ARI 13<br/>@SF 38 F","500,000","1st","35.5","2.09","9","0%","17","0","0","0"
"*03cfs*","DaQuan Jones","BUF","DL","846","FA","31","NE 23<br/>@BUF 35 F","500,000","1st","35","2.06","7","0%","17","0","0","0"
"*04zvo*","Kingsley Keke","(N/A)","DL","847","FA","26","Bye","500,000","9th","35","2.92","","0%","12","0","0","0"
"*040ea*","Artie Burns","SEA","DB","851","FA","27","LAR 16<br/>@SEA 19 F","500,000","1st","34.5","3.14","","0%","11","0","0","0"
"*04yni*","Mack Wilson","NE","LB","859","FA","25","NE 23<br/>@BUF 35 F","500,000","9th","34","2.43","10","12%","14","0","0","0"
"*05jah*","Ross Blacklock","MIN","DL","854","FA","24","MIN 29<br/>@CHI 13 F","500,000","1st","34","2.43","7","0%","14","0","0","0"
"*05j9t*","K'Lavon Chaisson","JAX","DL,LB","855","Mullen","23","TEN 16<br/>@JAX 20 F","562,500","2nd","34","2.27","11","0%","15","0","0","0"
"*03cgc*","Dontae Johnson","SF","DB","856","FA","31","ARI 13<br/>@SF 38 F","500,000","1st","34","2.12","9","0%","16","0","0","0"
"*04p1h*","Dallin Leavitt","GB","DB","857","FA","28","DET 20<br/>@GB 16 F","500,000","1st","34","2.12","14","0%","16","0","0","0"
"*0506v*","Bryan Mone","SEA","DL","858","FA","27","LAR 16<br/>@SEA 19 F","500,000","1st","34","2.43","11","0%","14","0","0","0"
"*04cgo*","Brandon Wilson","CIN","DB","861","FA","28","BAL 16<br/>@CIN 27 F","500,000","1st","33.6","3.73","10","0%","9","0","0","0"
"*04zuw*","Cody Barton","SEA","LB","862","SNLR","26","LAR 16<br/>@SEA 19 F","500,000","2nd","33.5","2.09","14","88%","16","0","0","0"
"*05rqf*","Talanoa Hufanga","SF","DB","863","Nick","24","ARI 13<br/>@SF 38 F","500,000","9th","33.5","2.23","9","88%","15","0","0","0"
"*040tr*","Michael Pierce","BAL","DL","864","FA","30","BAL 16<br/>@CIN 27 F","500,000","1st","33.5","4.19","10","0%","8","0","0","0"
"*04our*","Taylor Stallworth","KC/HOU","DL","865","FA","27","HOU 32<br/>@IND 31 F","500,000","1st","33.5","2.09","6","0%","16","0","0","0"
"*04yox*","Trayvon Mullen","ARI/DAL","DB","870","FA","25","DAL 6<br/>@WAS 26 F","500,000","1st","33","6.6","10","12%","5","0","0","0"
"*03ohl*","Bud Dupree","TEN","LB","867","FA","30","TEN 16<br/>@JAX 20 F","500,000","1st","33","3","","0%","11","0","0","0"
"*04ohn*","Marquis Haynes","CAR","DL","868","FA","29","CAR 10<br/>@NO 7 F","500,000","1st","33","1.94","13","0%","17","0","0","0"
"*05jc8*","James Lynch","MIN","DL","869","FA","24","MIN 29<br/>@CHI 13 F","500,000","1st","33","2.54","7","0%","13","0","0","0"
"*040ev*","Jihad Ward","NYG","LB","871","FA","28","NYG 16<br/>@PHI 22 F","500,000","1st","33","1.94","9","0%","17","0","0","0"
"*04otb*","Olasunkanmi Adeniyi","TEN/PIT","LB","875","FA","25","Bye","500,000","1st","32.5","2.03","","0%","16","0","0","0"
"*04zvq*","Dre Greenlaw","SF","LB","876","Nick","25","ARI 13<br/>@SF 38 F","500,000","9th","32.4","10.8","9","88%","3","0","0","0"
"*02j80*","Stephon Gilmore","IND","DB","877","FA","32","HOU 32<br/>@IND 31 F","500,000","1st","32.3","4.04","9","25%","8","0","0","0"
"*040ho*","Ronald Blair","NYJ","DL","881","FA","30","NYJ 6<br/>@MIA 11 F","500,000","1st","32","4","10","0%","8","0","0","0"
"*040w3*","Donte Deayon","(N/A)","DB","882","FA","29","Bye","500,000","9th","32","3.2","","0%","10","0","0","0"
"*02zs2*","Star Lotulelei","(N/A)","DL","883","FA","33","Bye","500,000","9th","32","2.91","","0%","11","0","0","0"
"*05jct*","Alton Robinson","SEA","DL,LB","884","FA","24","LAR 16<br/>@SEA 19 F","500,000","1st","32","2","11","0%","16","0","0","0"
"*05jbq*","Akeem Davis-Gaither","CIN","LB","885","FA","25","BAL 16<br/>@CIN 27 F","500,000","1st","31.5","3.5","10","0%","9","0","0","0"
"*040jk*","Kevon Seymour","BAL","DB","886","FA","29","BAL 16<br/>@CIN 27 F","500,000","1st","31.5","3.5","","0%","9","0","0","0"
"*040gz*","Juston Burris","CAR","DB","889","FA","29","CAR 10<br/>@NO 7 F","500,000","1st","31.2","3.12","","25%","10","0","0","0"
"*05rnd*","Chauncey Golston","DAL","DL","890","FA","25","DAL 6<br/>@WAS 26 F","500,000","1st","31","2.07","9","0%","15","0","1","1"
"*030pe*","Benson Mayowa","(N/A)","DL","891","FA","31","Bye","500,000","9th","31","2.07","","0%","15","0","0","0"
"*04ojh*","Travin Howard","LAR","LB","892","FA","26","LAR 16<br/>@SEA 19 F","500,000","1st","30.9","2.57","7","0%","12","0","0","0"
"*05rmc*","Carlos Basham","BUF","DL","894","FA","25","NE 23<br/>@BUF 35 F","500,000","1st","30.5","3.81","7","0%","8","0","0","0"
"*01tmd*","Jerry Hughes","HOU","DL","895","FA","34","HOU 32<br/>@IND 31 F","500,000","1st","30.5","1.79","6","0%","17","0","0","0"
"*040g0*","Jordan Jenkins","LV","DL,LB","896","FA","28","KC 31<br/>@LV 13 F","500,000","1st","30.5","2.77","","0%","11","0","0","0"
"*03o06*","Efe Obada","WAS","DL","897","FA","30","DAL 6<br/>@WAS 26 F","500,000","1st","30.5","3.05","14","0%","10","0","0","0"
"*030am*","Mike Purcell","DEN","DL","898","FA","31","LAC 28<br/>@DEN 31 F","500,000","1st","30.5","2.35","9","0%","13","0","0","0"
"*05rnv*","Benjamin St-Juste","WAS","DB","899","FA","25","DAL 6<br/>@WAS 26 F","500,000","1st","30.5","3.39","14","0%","9","0","0","0"
"*02zy4*","Nicholas Williams","NYG","DL","900","FA","33","NYG 16<br/>@PHI 22 F","500,000","1st","30.5","1.79","","0%","17","0","0","0"
"*04csz*","Adam Butler","MIA","DL","901","FA","28","Bye","500,000","9th","30","1.76","6","0%","17","0","0","0"
"*03ojz*","Trey Flowers","MIA","DL,LB","902","FA","29","NYJ 6<br/>@MIA 11 F","500,000","1st","30","4.29","","0%","7","0","0","0"
"*02zt6*","Johnathan Hankins","LV/DAL","DL","903","FA","31","DAL 6<br/>@WAS 26 F","500,000","1st","30","2.14","9","0%","14","0","0","0"
"*040fc*","Carl Nassib","TB","DL,LB","904","FA","29","TB 17<br/>@ATL 30 F","500,000","1st","30","2.31","","0%","13","0","0","0"
"*02zup*","Alex Okafor","(N/A)","DL","905","FA","32","Bye","500,000","9th","30","1.76","","0%","17","0","0","0"
"*04zzu*","Del'Shawn Phillips","BAL","LB","906","FA","26","BAL 16<br/>@CIN 27 F","500,000","1st","30","1.76","","0%","17","0","0","0"
"*04zvx*","E.J. Speed","IND","LB","907","FA","27","HOU 32<br/>@IND 31 F","500,000","1st","30","1.76","14","0%","17","0","2","2"
"*05jar*","Josh Uche","NE","LB","912","Shelton","24","NE 23<br/>@BUF 35 F","500,000","9th","29.5","2.46","10","38%","12","0","0","0"
"*04pca*","Chris Board","DET","LB","909","FA","27","DET 20<br/>@GB 16 F","500,000","1st","29.5","1.84","10","12%","16","0","0","0"
"*026se*","J.J. Watt","ARI","DL","913","DN","34","ARI 13<br/>@SF 38 F","500,000","2nd","29.5","4.21","13","12%","7","0","0","0"
"*05rps*","Isaiahh Loudermilk","PIT","DL","910","FA","25","CLE 14<br/>@PIT 28 F","500,000","1st","29.5","1.97","9","0%","15","0","0","0"
"*05jdh*","Justin Strnad","DEN","LB","911","FA","26","LAC 28<br/>@DEN 31 F","500,000","1st","29.5","1.84","9","0%","16","0","0","0"
"*05jer*","Kenny Willekes","MIN","DL","914","FA","25","MIN 29<br/>@CHI 13 F","500,000","1st","29.5","4.92","7","0%","6","0","0","0"
"*03olz*","David Mayo","WAS","LB","918","FA","29","DAL 6<br/>@WAS 26 F","500,000","1st","29","1.81","14","12%","16","0","0","0"
"*02jbh*","Malik Jackson","(N/A)","DL","917","FA","33","Bye","500,000","9th","29","1.81","","0%","16","0","0","0"
"*040wz*","Jonathan Jones","NE","DB","921","FA","29","NE 23<br/>@BUF 35 F","500,000","1st","28.5","4.75","10","38%","6","0","0","0"
"*05rnn*","Monty Rice","TEN","LB","923","FA","24","TEN 16<br/>@JAX 20 F","500,000","1st","28.5","2.85","6","38%","10","0","0","0"
"*04zvs*","Justin Hollins","LAR/GB","LB","920","FA","27","DET 20<br/>@GB 16 F","500,000","1st","28.5","3.56","14","0%","8","0","0","0"
"*05rw3*","Amen Ogbongbemiga","LAC","LB","922","FA","24","LAC 28<br/>@DEN 31 F","500,000","1st","28.5","1.9","8","0%","15","0","0","0"
"*040qs*","Sharrod Neasman","LAR","DB","924","FA","31","Bye","500,000","9th","28.3","2.57","","0%","11","0","0","0"
"*05jbg*","Jacob Phillips","CLE","LB","930","FA","24","CLE 14<br/>@PIT 28 F","500,000","1st","28","7","9","50%","4","0","0","0"
"*04zxe*","Michael Dogbe","ARI","DL","928","FA","26","ARI 13<br/>@SF 38 F","500,000","1st","28","1.75","11","0%","16","0","0","0"
"*04cak*","Takkarist McKinley","TEN/LAR/DAL","DL,LB","929","FA","27","DAL 6<br/>@WAS 26 F","500,000","1st","28","2.55","9","0%","11","0","0","0"
"*04oxf*","Jeremy Reaves","WAS","DB","931","FA","26","DAL 6<br/>@WAS 26 F","500,000","1st","28","5.6","","0%","5","0","0","0"
"*04yor*","Joejuan Williams","NE","DB","932","FA","25","NE 23<br/>@BUF 35 F","500,000","1st","28","2.33","","0%","12","0","0","0"
"*04mnx*","Bradley Chubb","DEN/MIA","DL,LB","933","Mullen","26","NYJ 6<br/>@MIA 11 F","12,413,563","5th","27.6","3.94","11","62%","7","0","0","0"
"*05rp2*","Robert Rochell","LAR","DB","934","FA","24","LAR 16<br/>@SEA 19 F","500,000","1st","27.6","2.51","7","0%","11","0","0","0"
"*05rnl*","Andre Cisco","JAX","DB","936","Nick","23","TEN 16<br/>@JAX 20 F","500,000","9th","27.5","1.62","11","12%","17","0","0","0"
"*04zwz*","Kris Boyd","MIN","DB","935","FA","26","MIN 29<br/>@CHI 13 F","500,000","1st","27.5","1.83","13","0%","15","0","0","0"
"*04os1*","Tyler Lancaster","LV","DL","937","FA","28","Bye","500,000","9th","27.5","1.72","","0%","16","0","0","0"
"*02zsb*","Desmond Trufant","(N/A)","DB","938","FA","32","Bye","500,000","9th","27.5","2.75","","0%","10","0","0","0"
"*04pv1*","Josh Woods","DET","LB","939","FA","26","DET 20<br/>@GB 16 F","500,000","1st","27.5","2.12","13","0%","13","0","0","0"
"*05j9u*","Kenneth Murray","LAC","LB","943","FA","24","LAC 28<br/>@DEN 31 F","500,000","1st","27","2.45","8","50%","11","0","0","0"
"*05rne*","Aaron Robinson","NYG","DB","944","FA","24","NYG 16<br/>@PHI 22 F","500,000","1st","27","3","9","0%","9","0","0","0"
"*05jdo*","Bravvion Roy","CAR","DL","945","FA","26","CAR 10<br/>@NO 7 F","500,000","1st","27","1.59","13","0%","17","0","0","0"
"*03cit*","Shamar Stephen","(N/A)","DL","946","FA","32","Bye","500,000","9th","27","1.59","","0%","17","0","0","0"
"*05jf1*","Casey Toohill","WAS","DL","947","FA","26","DAL 6<br/>@WAS 26 F","500,000","1st","27","1.8","14","0%","15","0","0","0"
"*026wg*","Buster Skrine","TEN","DB","948","FA","33","TEN 16<br/>@JAX 20 F","500,000","1st","26.7","3.81","6","0%","7","0","0","0"
"*04ol7*","Dee Delaney","TB","DB","949","FA","28","TB 17<br/>@ATL 30 F","500,000","1st","26.6","1.77","11","0%","15","0","0","0"
"*050ey*","C.J. Moore","DET/HOU","DB","950","FA","27","DET 20<br/>@GB 16 F","500,000","1st","26.6","1.56","6","0%","17","0","0","0"
"*05rm0*","Zaven Collins","ARI","LB","953","QBRT","23","ARI 13<br/>@SF 38 F","625,000","2nd","26.5","1.56","13","75%","17","0","0","0"
"*04mpl*","Ogbonnia Okoronkwo","HOU","DL,LB","954","FA","27","HOU 32<br/>@IND 31 F","500,000","1st","26.5","2.04","9","25%","13","0","0","0"
"*04moi*","Taven Bryan","CLE","DL","952","FA","27","CLE 14<br/>@PIT 28 F","500,000","1st","26.5","1.77","","12%","15","0","0","0"
"*05rq8*","Tedarrell Slaton","GB","DL","955","FA","25","DET 20<br/>@GB 16 F","500,000","1st","26.5","1.56","14","0%","17","0","0","0"
"*05jel*","Geno Stone","BAL","DB","956","FA","23","BAL 16<br/>@CIN 27 F","500,000","1st","26.5","1.77","10","0%","15","0","0","0"
"*04ccw*","Jordan Willis","SF","DL","957","FA","27","ARI 13<br/>@SF 38 F","500,000","1st","26.5","2.65","6","0%","10","0","0","0"
"*05jam*","A.J. Epenesa","BUF","DL","961","DN","24","NE 23<br/>@BUF 35 F","562,500","2020","26","1.86","7","12%","14","0","0","0"
"*05jkr*","Joe Bachie","CIN","LB","958","FA","25","BAL 16<br/>@CIN 27 F","500,000","1st","26","2.89","10","0%","9","0","0","0"
"*05jaz*","Zack Baun","NO","LB","959","FA","26","CAR 10<br/>@NO 7 F","500,000","1st","26","1.53","14","0%","17","0","0","0"
"*03ciq*","T.J. Carrie","BAL/CAR","DB","960","FA","32","CAR 10<br/>@NO 7 F","500,000","1st","26","2.36","13","0%","11","0","0","0"
"*05rq5*","Garret Wallow","HOU","LB","963","FA","24","HOU 32<br/>@IND 31 F","500,000","1st","26","1.53","6","0%","17","0","0","0"
"*05rqk*","Nick Niemann","LAC","LB","965","FA","25","LAC 28<br/>@DEN 31 F","500,000","1st","25.5","1.5","8","0%","17","0","0","0"
"*01tns*","Corey Peters","JAX","DL","966","FA","34","TEN 16<br/>@JAX 20 F","500,000","1st","25.5","1.82","","0%","14","0","0","0"
"*040gx*","Hassan Ridgeway","SF","DL","967","FA","28","ARI 13<br/>@SF 38 F","500,000","1st","25.5","1.5","6","0%","17","0","0","0"
"*04mp4*","Jaire Alexander","GB","DB","968","FA","26","DET 20<br/>@GB 16 F","500,000","9th","25","6.25","14","62%","4","0","0","0"
"*04zwr*","Donovan Wilson","DAL","DB","973","Shelton","28","DAL 6<br/>@WAS 26 F","700,000","2nd","25","2.78","9","62%","9","0","0","0"
"*05jlh*","Sam Franklin","CAR","DB","969","FA","27","CAR 10<br/>@NO 7 F","500,000","1st","25","1.56","13","0%","16","0","0","0"
"*03omt*","Christian Ringo","NO/BAL","DL","971","FA","31","BAL 16<br/>@CIN 27 F","500,000","1st","25","1.79","10","0%","14","0","0","0"
"*03oha*","Danny Shelton","KC","DL","972","FA","29","KC 31<br/>@LV 13 F","500,000","1st","25","1.92","8","0%","13","0","0","0"
"*03olh*","Tyeler Davison","CLE/LAC","DL","977","FA","30","LAC 28<br/>@DEN 31 F","500,000","1st","24.5","2.04","","0%","12","0","0","0"
"*05jf6*","Jonathan Garvin","GB","DL,LB","978","FA","23","DET 20<br/>@GB 16 F","500,000","1st","24.5","1.53","14","0%","16","0","0","0"
"*03oi6*","Benardrick McKinney","(N/A)","LB","979","FA","30","Bye","500,000","9th","24.5","2.23","","0%","11","0","0","0"
"*05jcg*","Shaquille Quarterman","JAX","LB","980","FA","25","TEN 16<br/>@JAX 20 F","500,000","1st","24.5","1.44","11","0%","17","0","0","0"
"*04ccv*","Duke Riley","MIA","LB","981","FA","28","NYJ 6<br/>@MIA 11 F","500,000","1st","24.5","1.53","11","0%","16","0","0","0"
"*0503i*","Chris Westry","(N/A)","DB","982","FA","25","Bye","500,000","9th","24.5","4.08","","0%","6","0","0","0"
"*040kl*","Tyler Matakevich","BUF","LB","985","FA","30","NE 23<br/>@BUF 35 F","500,000","1st","24","1.41","7","0%","17","0","0","0"
"*04oud*","Henry Mondeaux","NYG","DL","986","FA","27","NYG 16<br/>@PHI 22 F","500,000","1st","24","1.6","11","0%","15","0","0","0"
"*026sq*","Jimmy Smith","(N/A)","DB","987","FA","34","Bye","500,000","9th","24","2.4","","0%","10","0","0","0"
"*05jf5*","Derrek Tuszka","TEN/LAC","LB","988","FA","25","LAC 28<br/>@DEN 31 F","500,000","1st","24","1.6","8","0%","15","0","0","0"
"*04omo*","Jonathan Owens","HOU","DB","992","Mullen","27","HOU 32<br/>@IND 31 F","500,000","9th","23.7","3.39","","62%","7","0","0","0"
"*05guj*","Raekwon Davis","MIA","DL","993","FA","25","NYJ 6<br/>@MIA 11 F","500,000","1st","23.5","1.68","11","0%","14","0","0","0"
"*05jbu*","Leki Fotu","ARI","DL","994","FA","24","ARI 13<br/>@SF 38 F","500,000","1st","23.5","1.38","13","0%","17","0","0","0"
"*05rnt*","Ifeatu Melifonwu","DET","DB","995","FA","23","DET 20<br/>@GB 16 F","500,000","1st","23.5","3.36","6","0%","7","0","0","0"
"*04yob*","Joe Jackson","(N/A)","DL","998","FA","26","Bye","500,000","9th","23","1.92","","0%","12","0","0","0"
"*04oqc*","Danny Johnson","WAS","DB","999","FA","27","DAL 6<br/>@WAS 26 F","500,000","1st","23","1.92","14","0%","12","0","0","0"
"*04yqz*","Sam Eguavoen","MIA","LB","1003","FA","30","NYJ 6<br/>@MIA 11 F","500,000","1st","22.5","1.32","","0%","17","0","0","0"
"*05jbp*","Malik Harrison","BAL","LB","1004","FA","25","BAL 16<br/>@CIN 27 F","500,000","3rd","22.5","1.61","10","0%","14","0","0","0"
"*05rqq*","Tarron Jackson","PHI","DL","1005","FA","24","NYG 16<br/>@PHI 22 F","500,000","1st","22.5","1.32","7","0%","17","0","0","0"
"*04ogn*","Nathan Shepherd","NYJ","DL","1006","FA","29","NYJ 6<br/>@MIA 11 F","500,000","1st","22.5","1.32","14","0%","17","0","0","0"
"*040gl*","Sheldon Day","CLE/MIN","DL","1010","FA","28","MIN 29<br/>@CHI 13 F","500,000","9th","22","3.14","7","0%","7","0","0","0"
"*05jbb*","Jordan Elliott","CLE","DL","1011","FA","25","CLE 14<br/>@PIT 28 F","500,000","1st","22","1.38","9","0%","16","0","0","0"
"*04om5*","Dennis Gardeck","ARI","LB","1012","FA","28","ARI 13<br/>@SF 38 F","500,000","1st","22","1.57","13","0%","14","0","0","0"
"*04cdz*","Jaleel Johnson","NO/ATL/HOU","DL","1013","FA","28","TB 17<br/>@ATL 30 F","500,000","1st","22","1.83","","0%","12","0","0","0"
"*05rmd*","Kelvin Joseph","DAL","DB","1014","FA","23","DAL 6<br/>@WAS 26 F","500,000","1st","22","2.2","9","0%","10","0","0","0"
"*04mph*","Tim Settle","BUF","DL","1015","FA","25","NE 23<br/>@BUF 35 F","500,000","1st","22","1.38","7","0%","16","0","0","0"
"*05jd0*","Daniel Thomas","JAX","DB","1016","FA","24","TEN 16<br/>@JAX 20 F","500,000","1st","22","1.38","11","0%","16","0","0","0"
"*04cag*","Jarrad Davis","DET/NYG","LB","1018","FA","28","NYG 16<br/>@PHI 22 F","500,000","1st","21.5","2.39","9","12%","9","0","0","0"
"*03oi0*","Eddie Goldman","ATL","DL","1019","FA","29","TB 17<br/>@ATL 30 F","500,000","1st","21.5","1.54","14","0%","14","0","0","0"
"*04ohv*","Siran Neal","BUF","DB","1021","FA","28","NE 23<br/>@BUF 35 F","500,000","1st","21.5","1.26","7","0%","17","0","0","0"
"*05jdv*","Shaun Bradley","PHI","LB","1024","FA","26","NYG 16<br/>@PHI 22 F","500,000","1st","21","1.4","7","0%","15","0","0","0"
"*03ojp*","Carl Davis","NE","DL","1025","FA","31","NE 23<br/>@BUF 35 F","500,000","1st","21","1.24","","0%","17","0","0","0"
"*0506f*","Demetrius Flannigan-Fowles","SF","LB,DB","1026","FA","26","ARI 13<br/>@SF 38 F","500,000","1st","21","1.24","9","0%","17","0","0","0"
"*0304u*","Tony Jefferson","NYG","DB","1027","FA","31","NYG 16<br/>@PHI 22 F","500,000","9th","21","3.5","","0%","6","0","0","0"
"*05jn7*","Bobby Price","DET","DB","1029","FA","24","DET 20<br/>@GB 16 F","500,000","1st","21","1.4","6","0%","15","0","0","0"
"*04zxc*","Kaden Elliss","NO","LB","1033","FA","27","CAR 10<br/>@NO 7 F","500,000","1st","20.5","1.58","","25%","13","0","0","0"
"*040li*","Jarrod Wilson","(N/A)","DB","1041","FA","29","Bye","500,000","9th","20.5","2.28","","12%","9","0","0","0"
"*04yq2*","Clelin Ferrell","LV","DL","1034","FA","25","KC 31<br/>@LV 13 F","500,000","1st","20.5","1.28","9","0%","16","0","0","0"
"*04zw4*","Jaquan Johnson","BUF","DB","1035","FA","27","NE 23<br/>@BUF 35 F","500,000","1st","20.5","1.21","6","0%","17","0","0","0"
"*040gn*","Miles Killebrew","PIT","LB,DB","1036","FA","29","CLE 14<br/>@PIT 28 F","500,000","1st","20.5","1.21","9","0%","17","0","1","1"
"*01lu9*","Steve McLendon","(N/A)","DL","1037","FA","37","Bye","500,000","9th","20.5","1.71","","0%","12","0","0","0"
"*040pu*","Kyle Peko","LV","DL","1038","FA","29","KC 31<br/>@LV 13 F","500,000","1st","20.5","2.56","6","0%","8","0","0","0"
"*05rop*","Chris Rumph","LAC","DL,LB","1039","FA","24","LAC 28<br/>@DEN 31 F","500,000","1st","20.5","1.28","8","0%","16","0","0","0"
"*05rsb*","Khyiris Tonga","ATL/MIN","DL","1040","FA","26","MIN 29<br/>@CHI 13 F","500,000","1st","20.5","1.37","7","0%","15","0","0","0"
"*05rq7*","Deommodore Lenoir","SF","DB","1051","FA","23","ARI 13<br/>@SF 38 F","500,000","1st","20","1.54","9","12%","13","0","0","0"
"*026x5*","Richard Sherman","(N/A)","DB","1052","FA","35","Bye","500,000","9th","20","4","","12%","5","0","0","0"
"*03cf3*","Terrence Brooks","(N/A)","DB","1047","FA","31","Bye","500,000","9th","20","1.82","","0%","11","0","0","0"
"*03cd7*","Dee Ford","SF","DL","1048","FA","32","Bye","500,000","9th","20","3.33","","0%","6","0","0","0"
"*04oql*","J.T. Gray","NO","DB","1049","FA","27","CAR 10<br/>@NO 7 F","500,000","1st","20","1.25","14","0%","16","0","0","0"
