"ID","Player","Team","Position","RkOv","Status","Age","Opponent","Salary","Contract","FPts","Bye","Ros %","GP","BFGTD","BPTD","TDST"
"*04cf3*","Carlos Watkins","DAL","DL","973","FA","29","DAL 6<br/>@WAS 26 F","500,000","1st","4.5","13","0%","4","0","0","0"
"*04pv1*","Josh Woods","DET","LB","1182","FA","26","DET 20<br/>@GB 16 F","500,000","1st","4.5","13","0%","9","0","0","0"
"*05jsn*","Michael Hoecht","LAR","DL","615","FA","25","LAR 16<br/>@SEA 19 F","500,000","1st","4.2","7","0%","9","0","0","0"
"*05rnm*","Elijah Molden","TEN","DB","1335","FA","24","TEN 16<br/>@JAX 20 F","500,000","1st","4","6","12%","1","0","0","0"
"*04zul*","Ben Banogu","IND","DL","1316","FA","27","HOU 32<br/>@IND 31 F","500,000","1st","4","","0%","10","0","0","0"
"*05jdm*","Cam Brown","NYG","LB","1385","FA","25","NYG 16<br/>@PHI 22 F","500,000","1st","4","9","0%","9","0","0","0"
"*05jea*","Carter Coughlin","NYG","LB","1276","FA","25","NYG 16<br/>@PHI 22 F","500,000","1st","4","9","0%","9","0","0","0"
"*05rpp*","Tony Fields","CLE","LB","611","FA","23","CLE 14<br/>@PIT 28 F","500,000","1st","4","9","0%","9","0","0","0"
"*0611z*","Jeffrey Gunter","CIN","DL,LB","1389","FA","23","Bye","500,000","1st","4","10","0%","7","0","0","0"
"*04okz*","Demone Harris","HOU","DL","1409","FA","27","HOU 32<br/>@IND 31 F","500,000","1st","4","6","0%","3","0","0","0"
"*04yoq*","Lonnie Johnson","TEN","DB","1239","FA","27","TEN 16<br/>@JAX 20 F","500,000","1st","4","14","0%","8","0","0","0"
"*05rnf*","Malcolm Koonce","LV","DL","1178","FA","24","KC 31<br/>@LV 13 F","500,000","1st","4","6","0%","9","0","0","0"
"*040gv*","Nick Kwiatkoski","ATL","LB","1370","FA","29","TB 17<br/>@ATL 30 F","500,000","1st","4","","0%","5","0","0","0"
"*06126*","Deane Leonard","LAC","DB","1319","FA","23","LAC 28<br/>@DEN 31 F","500,000","1st","4","8","0%","9","0","0","0"
"*040jo*","Will Parks","NYJ","DB","1156","FA","28","Bye","500,000","1st","4","10","0%","7","0","1","1"
"*05rsj*","Grant Stuard","IND","LB","1231","FA","24","HOU 32<br/>@IND 31 F","500,000","1st","4","14","0%","8","0","0","0"
"*05jd0*","Daniel Thomas","JAX","DB","1322","FA","24","TEN 16<br/>@JAX 20 F","500,000","1st","4","11","0%","8","0","0","0"
"*04yq6*","Greedy Williams","CLE","DB","1265","FA","25","CLE 14<br/>@PIT 28 F","500,000","1st","4","7","0%","4","0","0","0"
"*04omr*","Tavierre Thomas","HOU","DB","826","FA","27","HOU 32<br/>@IND 31 F","500,000","1st","3.5","6","25%","2","0","0","0"
"*04cag*","Jarrad Davis","DET/NYG","LB","1107","FA","28","NYG 16<br/>@PHI 22 F","500,000","1st","3.5","9","12%","1","0","0","0"
"*061hk*","Okechukwu Emili","BUF/NO","DL","1423","FA","24","CAR 10<br/>@NO 7 F","500,000","1st","3.5","14","12%","2","0","0","0"
"*04yox*","Trayvon Mullen","ARI/DAL","DB","1082","FA","25","Bye","500,000","1st","3.5","10","12%","5","0","0","0"
"*04ohs*","Marcus Allen","PIT","LB,DB","1223","FA","26","CLE 14<br/>@PIT 28 F","500,000","1st","3.5","","0%","9","0","0","0"
"*03ce2*","Jeremiah Attaochu","BAL/LAC","LB","1419","FA","30","LAC 28<br/>@DEN 31 F","500,000","1st","3.5","8","0%","3","0","0","0"
"*0619j*","Jack Cochrane","KC","LB","1301","FA","24","KC 31<br/>@LV 13 F","500,000","1st","3.5","8","0%","7","0","0","0"
"*061f7*","JoJo Domann","IND","LB","1330","FA","25","HOU 32<br/>@IND 31 F","500,000","1st","3.5","14","0%","9","0","0","0"
"*061gp*","Olakunle Fatukasi","TB/DEN","LB","1408","FA","23","Bye","500,000","1st","3.5","10","0%","10","0","0","0"
"*04zx0*","Cullen Gillaspia","SEA","RB,LB","1425","FA","27","LAR 16<br/>@SEA 19 F","500,000","1st","3.5","","0%","6","0","0","0"
"*0503w*","Chase Hansen","NO","LB","1287","FA","29","CAR 10<br/>@NO 7 F","500,000","1st","3.5","14","0%","8","0","0","0"
"*0504v*","Jonathan Harris","DEN","DL","1047","FA","26","LAC 28<br/>@DEN 31 F","500,000","1st","3.5","9","0%","2","0","0","0"
"*0611d*","Theo Jackson","TEN/MIN","DB","1263","FA","24","MIN 29<br/>@CHI 13 F","500,000","1st","3.5","7","0%","3","0","0","0"
"*05rps*","Isaiahh Loudermilk","PIT","DL","1202","FA","25","CLE 14<br/>@PIT 28 F","500,000","1st","3.5","9","0%","4","0","0","0"
"*05rpu*","Daviyon Nixon","CAR/SEA","DL","1392","FA","24","Bye","500,000","1st","3.5","","0%","6","0","0","0"
"*05jn7*","Bobby Price","DET","DB","1428","FA","24","DET 20<br/>@GB 16 F","500,000","1st","3.5","6","0%","5","0","0","0"
"*05jp0*","Christian Rozeboom","LAR","LB","1354","FA","26","LAR 16<br/>@SEA 19 F","500,000","1st","3.5","7","0%","9","0","0","0"
"*061fg*","Sterling Weatherford","CHI","LB","1434","FA","24","MIN 29<br/>@CHI 13 F","500,000","1st","3.5","14","0%","10","0","0","0"
"*040zf*","Antwaun Woods","ARI","DL","1435","FA","30","ARI 13<br/>@SF 38 F","500,000","1st","3.5","13","0%","1","0","0","0"
"*060ke*","Nakobe Dean","PHI","LB","1169","ROTK_Ben","22","NYG 16<br/>@PHI 22 F","500,000","2022","3","7","38%","9","0","0","0"
"*029ui*","Mario Addison","HOU","DL","1055","FA","35","HOU 32<br/>@IND 31 F","500,000","1st","3","","12%","5","0","0","0"
"*060lo*","Andrew Booth Jr.","MIN","DB","1174","FA","22","MIN 29<br/>@CHI 13 F","500,000","1st","3","7","12%","5","0","0","0"
"*03ccx*","Kyle Fuller","BAL","DB","1447","FA","31","BAL 16<br/>@CIN 27 F","500,000","1st","3","","12%","1","0","0","0"
"*05jld*","Myles Adams","SEA","DL","1122","FA","25","LAR 16<br/>@SEA 19 F","500,000","1st","3","11","0%","5","0","0","0"
"*05jkr*","Joe Bachie","CIN","LB","1298","FA","25","Bye","500,000","1st","3","10","0%","3","0","0","0"
"*04zx2*","Quinton Bell","ATL","DL,LB","1405","FA","26","TB 17<br/>@ATL 30 F","500,000","1st","3","14","0%","3","0","0","0"
"*04mqj*","Tony Brown","IND","DB","1225","FA","27","HOU 32<br/>@IND 31 F","500,000","1st","3","14","0%","8","0","0","0"
"*04oxm*","Andre Chachere","PHI","DB","1407","FA","27","NYG 16<br/>@PHI 22 F","500,000","1st","3","7","0%","4","0","0","0"
"*0610k*","D.J. Davidson","NYG","DL","1444","FA","23","NYG 16<br/>@PHI 22 F","500,000","1st","3","9","0%","5","0","0","0"
"*0503p*","Andrew Dowell","NO","LB","1346","FA","26","CAR 10<br/>@NO 7 F","500,000","1st","3","14","0%","10","0","0","0"
"*05jod*","Tipa Galeai","GB","DL,LB","1448","FA","26","Bye","500,000","1st","3","","0%","5","0","0","0"
"*061ez*","Troy Hairston","HOU","DL,LB","1350","FA","24","HOU 32<br/>@IND 31 F","500,000","1st","3","6","0%","9","0","0","0"
"*0613i*","Jake Hansen","HOU","LB","890","FA","24","HOU 32<br/>@IND 31 F","500,000","1st","3","6","0%","3","0","0","0"
"*050bt*","Herb Miller","CLE","DB","1451","FA","25","CLE 14<br/>@PIT 28 F","500,000","1st","3","13","0%","4","0","0","0"
"*05r03*","Aaron Patrick","DEN","DL,LB","1453","FA","26","LAC 28<br/>@DEN 31 F","500,000","1st","3","9","0%","5","0","0","0"
"*05rp2*","Robert Rochell","LAR","DB","1306","FA","24","LAR 16<br/>@SEA 19 F","500,000","1st","3","7","0%","9","0","0","0"
"*040jk*","Kevon Seymour","BAL","DB","1376","FA","29","BAL 16<br/>@CIN 27 F","500,000","1st","3","","0%","6","0","0","0"
"*04zwm*","Duke Shelley","MIN","DB","708","FA","26","MIN 29<br/>@CHI 13 F","500,000","1st","3","6","0%","3","0","0","0"
"*05jdh*","Justin Strnad","DEN","LB","1397","FA","26","LAC 28<br/>@DEN 31 F","500,000","1st","3","9","0%","9","0","0","0"
"*05jeh*","Stantley Thomas-Oliver","CAR","DB","1454","FA","24","CAR 10<br/>@NO 7 F","500,000","1st","3","13","0%","3","0","0","0"
"*05ji2*","Kristian Welch","BAL","LB","1456","FA","24","Bye","500,000","1st","3","10","0%","9","0","0","0"
"*05rz3*","Marvin Wilson","PHI","DL","1457","FA","24","NYG 16<br/>@PHI 22 F","500,000","1st","3","7","0%","1","0","0","0"
"*05007*","Troy Reeder","LAC","LB","1192","FA","28","LAC 28<br/>@DEN 31 F","500,000","1st","2.5","7","25%","9","0","0","0"
"*04ccd*","Ryan Anderson","PIT","DL,LB","1465","FA","28","Bye","500,000","9th","2.5","","0%","5","0","0","0"
"*05jah*","Ross Blacklock","MIN","DL","1244","FA","24","MIN 29<br/>@CHI 13 F","500,000","1st","2.5","7","0%","9","0","0","0"
"*05rqb*","K.J. Britt","TB","LB","1245","FA","23","TB 17<br/>@ATL 30 F","500,000","1st","2.5","11","0%","7","0","0","0"
"*040v9*","Brandin Bryant","BUF/HOU","DL","1467","FA","29","NE 23<br/>@BUF 35 F","500,000","1st","2.5","7","0%","3","0","0","0"
"*05j9t*","K'Lavon Chaisson","JAX","DL,LB","1140","Mullen","23","TEN 16<br/>@JAX 20 F","562,500","2nd","2.5","11","0%","4","0","0","0"
"*04ov8*","Jalen Davis","CIN","DB","1445","FA","27","Bye","500,000","1st","2.5","10","0%","9","0","0","0"
"*04yqz*","Sam Eguavoen","MIA","LB","1446","FA","30","NYJ 6<br/>@MIA 11 F","500,000","1st","2.5","","0%","10","0","0","0"
"*05jh0*","Breiden Fehoko","LAC","DL","1072","FA","26","LAC 28<br/>@DEN 31 F","500,000","1st","2.5","9","0%","1","0","0","0"
"*04zyh*","Tae Hayes","CAR/NE","DB","1367","FA","25","NE 23<br/>@BUF 35 F","500,000","1st","2.5","","0%","4","0","0","0"
"*060kl*","Daxton Hill","CIN","DB","1153","SNLR","22","Bye","500,000","1st","2.5","10","0%","9","0","0","0"
"*061c3*","Jake Hummel","LAR","LB","1470","FA","24","LAR 16<br/>@SEA 19 F","500,000","1st","2.5","7","0%","7","0","0","0"
"*061hm*","Ja'Marcus Ingram","BUF","DB","1471","FA","25","NE 23<br/>@BUF 35 F","500,000","1st","2.5","7","0%","4","0","0","0"
"*05rqd*","Shemar Jean-Charles","GB","DB","1472","FA","24","DET 20<br/>@GB 16 F","500,000","1st","2.5","14","0%","6","0","0","0"
"*061df*","Kingsley Jonathan","CHI/BUF","DL","1368","FA","24","NE 23<br/>@BUF 35 F","500,000","1st","2.5","7","0%","5","0","0","0"
"*050em*","Jonathan Ledbetter","ARI","DL","977","FA","25","ARI 13<br/>@SF 38 F","500,000","1st","2.5","13","0%","8","0","0","0"
"*0612o*","Jesse Luketa","ARI","LB","1334","FA","24","ARI 13<br/>@SF 38 F","500,000","1st","2.5","13","0%","4","0","0","0"
"*0618y*","Joshua Onujiogu","SEA","LB","1476","FA","25","LAR 16<br/>@SEA 19 F","500,000","1st","2.5","11","0%","1","0","0","0"
"*04zzu*","Del'Shawn Phillips","BAL","LB","1413","FA","26","BAL 16<br/>@CIN 27 F","500,000","1st","2.5","","0%","9","0","0","0"
"*050f1*","Anthony Pittman","DET","LB","1373","FA","26","DET 20<br/>@GB 16 F","500,000","1st","2.5","6","0%","9","0","0","0"
"*060lu*","Brandon Smith","CAR","LB","1307","FA","21","CAR 10<br/>@NO 7 F","500,000","1st","2.5","13","0%","9","0","0","0"
"*0611a*","Ja'Sir Taylor","LAC","DB","1050","FA","24","LAC 28<br/>@DEN 31 F","500,000","1st","2.5","8","0%","9","0","0","0"
"*060rj*","Josh Thompson","JAX/TEN","DB","1455","FA","24","TEN 16<br/>@JAX 20 F","500,000","1st","2.5","6","0%","3","0","0","0"
"*04oi1*","Jermaine Carter","CLE","LB","1175","FA","28","CLE 14<br/>@PIT 28 F","500,000","1st","2","9","25%","1","0","0","0"
"*060zw*","Brian Asamoah","MIN","LB","1087","FA","23","MIN 29<br/>@CHI 13 F","500,000","1st","2","7","12%","9","0","0","0"
"*05j9q*","Javon Kinlaw","SF","DL","1450","FA","25","ARI 13<br/>@SF 38 F","500,000","1st","2","9","12%","3","0","0","0"
"*04zxh*","Dakota Allen","CLE/DEN","LB","1483","FA","27","LAC 28<br/>@DEN 31 F","500,000","1st","2","","0%","4","0","0","0"
"*05056*","Curtis Bolton","LV","LB","1420","FA","27","KC 31<br/>@LV 13 F","500,000","1st","2","6","0%","2","0","0","0"
"*05ry8*","DiCaprio Bootle","KC","DB","1485","FA","25","KC 31<br/>@LV 13 F","500,000","1st","2","8","0%","4","0","0","0"
"*05jdv*","Shaun Bradley","PHI","LB","1329","FA","26","NYG 16<br/>@PHI 22 F","500,000","1st","2","7","0%","9","0","0","0"
"*061hj*","C.J. Brewer","BUF","DL","1486","FA","25","Bye","500,000","9th","2","","0%","1","0","0","0"
"*0610l*","Matthew Butler","LV","DL","1362","FA","23","KC 31<br/>@LV 13 F","500,000","1st","2","6","0%","3","0","0","0"
"*04zwk*","Xavier Crawford","SEA","DB","1468","FA","27","LAR 16<br/>@SEA 19 F","500,000","1st","2","11","0%","5","0","0","0"
"*05rud*","Michael Dwumfour","HOU/SF","DL","1236","FA","25","ARI 13<br/>@SF 38 F","500,000","1st","2","9","0%","4","0","0","0"
"*03ojz*","Trey Flowers","MIA","DL,LB","1491","FA","29","NYJ 6<br/>@MIA 11 F","500,000","1st","2","","0%","4","0","0","0"
"*03d3b*","C.J. Goodwin","DAL","DB","1348","FA","33","DAL 6<br/>@WAS 26 F","500,000","1st","2","","0%","9","0","0","0"
"*0612h*","Elijah Hicks","CHI","DB","956","FA","23","MIN 29<br/>@CHI 13 F","500,000","1st","2","14","0%","8","0","0","0"
"*05jey*","Clay Johnston","CIN","LB","1331","FA","26","Bye","500,000","1st","2","10","0%","9","0","0","0"
"*040gn*","Miles Killebrew","PIT","LB,DB","1474","FA","29","CLE 14<br/>@PIT 28 F","500,000","1st","2","9","0%","9","0","0","0"
"*04zwx*","Ty Summers","JAX/NO","LB","1378","FA","27","CAR 10<br/>@NO 7 F","500,000","1st","2","14","0%","2","0","0","0"
"*0610p*","Delarrin Turner-Yell","DEN","DB","1216","FA","23","LAC 28<br/>@DEN 31 F","500,000","1st","2","9","0%","6","0","0","0"
"*05rs1*","William Bradley-King","WAS","DL,LB","1514","FA","25","DAL 6<br/>@WAS 26 F","500,000","1st","1.5","14","0%","1","0","0","0"
"*05jv0*","Domenique Davis","CIN","DL","1515","FA","27","Bye","500,000","1st","1.5","10","0%","2","0","0","0"
"*05s07*","Isaiah Dunn","SEA","DB","1517","FA","24","LAR 16<br/>@SEA 19 F","500,000","1st","1.5","11","0%","5","0","0","0"
"*05rru*","Phil Hoskins","CAR","DL","1518","FA","26","CAR 10<br/>@NO 7 F","500,000","1st","1.5","8","0%","3","0","0","0"
"*05jd4*","Khaleke Hudson","WAS","LB","1302","FA","25","DAL 6<br/>@WAS 26 F","500,000","1st","1.5","14","0%","6","0","0","0"
"*03clc*","Christian Jones","SEA","LB","1521","FA","32","LAR 16<br/>@SEA 19 F","500,000","1st","1.5","11","0%","3","0","0","0"
"*040kl*","Tyler Matakevich","BUF","LB","1320","FA","30","NE 23<br/>@BUF 35 F","500,000","1st","1.5","7","0%","9","0","0","0"
"*061b5*","DaMarcus Mitchell","NE","DL","1372","FA","24","Bye","500,000","1st","1.5","10","0%","8","0","0","0"
"*06112*","Sam Roberts","NE","DL","1527","FA","24","Bye","500,000","1st","1.5","10","0%","4","0","0","0"
"*0613x*","Josh Ross","BAL","LB","1528","FA","23","Bye","500,000","1st","1.5","10","0%","2","0","0","0"
"*05ron*","Elerson Smith","NYG","DL,LB","1338","FA","24","NYG 16<br/>@PHI 22 F","500,000","1st","1.5","9","0%","2","0","0","0"
"*04our*","Taylor Stallworth","KC/HOU","DL","1309","FA","27","HOU 32<br/>@IND 31 F","500,000","1st","1.5","6","0%","3","0","0","0"
"*06105*","Eyioma Uwazurike","DEN","DL","1040","FA","24","LAC 28<br/>@DEN 31 F","500,000","1st","1.5","9","0%","2","0","0","0"
"*05jp1*","Jonah Williams","LAR","DL","1057","FA","27","LAR 16<br/>@SEA 19 F","500,000","1st","1.5","7","0%","9","0","0","0"
"*05jgo*","Elijah Riley","PIT","DB","1414","FA","24","CLE 14<br/>@PIT 28 F","500,000","1st","1","9","25%","1","0","0","0"
"*03ohw*","Landon Collins","NYG","DB","814","FA","29","NYG 16<br/>@PHI 22 F","500,000","1st","1","","12%","2","0","0","0"
"*061g3*","Ben Stille","MIA/CLE","DL","1478","FA","25","CLE 14<br/>@PIT 28 F","500,000","1st","1","9","12%","1","0","0","0"
"*061gt*","Ryder Anderson","NYG","DL","1086","FA","24","NYG 16<br/>@PHI 22 F","500,000","1st","1","9","0%","2","0","0","0"
"*05jgh*","Grayland Arnold","HOU","DB","1466","FA","25","HOU 32<br/>@IND 31 F","500,000","1st","1","6","0%","6","0","0","0"
"*04zw6*","Corey Ballentine","ARI/GB","DB","1383","FA","26","DET 20<br/>@GB 16 F","500,000","1st","1","14","0%","1","0","0","0"
"*061eg*","Markquese Bell","DAL","DB","1538","FA","24","DAL 6<br/>@WAS 26 F","500,000","1st","1","9","0%","4","0","0","0"
"*0619y*","Reed Blankenship","PHI","DB","820","FA","24","NYG 16<br/>@PHI 22 F","500,000","1st","1","7","0%","3","0","0","0"
"*0612u*","Tariq Carpenter","GB","DB","1300","FA","24","DET 20<br/>@GB 16 F","500,000","1st","1","14","0%","7","0","0","0"
"*05jgx*","Cole Christiansen","KC","LB","1541","FA","25","KC 31<br/>@LV 13 F","500,000","1st","1","8","0%","1","0","0","0"
"*05rug*","Milo Eifler","WAS","LB","1388","FA","25","DAL 6<br/>@WAS 26 F","500,000","1st","1","","0%","4","0","0","0"
"*04zyf*","Joe Giles-Harris","BUF","LB","1547","FA","26","NE 23<br/>@BUF 35 F","500,000","1st","1","7","0%","1","0","0","0"
"*04ojh*","Travin Howard","LAR","LB","1549","FA","26","LAR 16<br/>@SEA 19 F","500,000","1st","1","7","0%","1","0","0","0"
"*05jf7*","Chris Jackson","TEN","DB","1551","FA","24","Bye","500,000","9th","1","6","0%","1","0","0","0"
"*0614y*","Donovan Jeter","WAS","DL","1552","FA","24","DAL 6<br/>@WAS 26 F","500,000","1st","1","14","0%","1","0","0","0"
"*0610e*","Eric Johnson","IND","DL","1391","FA","24","HOU 32<br/>@IND 31 F","500,000","1st","1","14","0%","8","0","0","0"
"*05gdh*","Jonathan Kongbo","DEN","DL,LB","1553","FA","27","LAC 28<br/>@DEN 31 F","500,000","1st","1","9","0%","2","0","0","0"
"*0612i*","Chase Lucas","DET","DB","1497","FA","26","DET 20<br/>@GB 16 F","500,000","1st","1","6","0%","4","0","0","0"
"*0612p*","Christian Matthew","ARI","DB","1015","FA","26","ARI 13<br/>@SF 38 F","500,000","1st","1","13","0%","7","0","0","0"
"*02zw4*","Steven Means","BAL","DL,LB","1555","FA","32","Bye","500,000","9th","1","","0%","2","0","0","0"
"*05rnt*","Ifeatu Melifonwu","DET","DB","1056","FA","23","DET 20<br/>@GB 16 F","500,000","1st","1","6","0%","2","0","0","0"
"*0614k*","Arron Mosby","CAR","DL,LB","1556","FA","23","CAR 10<br/>@NO 7 F","500,000","1st","1","13","0%","3","0","0","0"
"*05rqk*","Nick Niemann","LAC","LB","1524","FA","25","LAC 28<br/>@DEN 31 F","500,000","1st","1","8","0%","9","0","0","0"
"*061e4*","Roderick Perry","CLE","DL","1525","FA","25","CLE 14<br/>@PIT 28 F","500,000","1st","1","9","0%","1","0","0","0"
"*04oi2*","Darius Phillips","DEN","DB","1526","FA","27","LAC 28<br/>@DEN 31 F","500,000","1st","1","","0%","4","0","0","0"
"*0505p*","Wyatt Ray","TEN/DEN","DL,LB","1477","FA","26","LAC 28<br/>@DEN 31 F","500,000","1st","1","","0%","1","0","0","0"
"*05rrf*","Quincy Roche","NYG","DL,LB","1558","FA","25","NYG 16<br/>@PHI 22 F","500,000","9th","1","9","0%","3","0","0","0"
"*05rvo*","Bryce Thompson","NO","DB","1560","FA","23","Bye","500,000","9th","1","","0%","5","0","0","0"
"*060zj*","Channing Tindall","MIA","LB","1501","FA","23","NYJ 6<br/>@MIA 11 F","500,000","1st","1","11","0%","9","0","0","0"
"*04oge*","Kemoko Turay","SF","DL","1561","FA","27","ARI 13<br/>@SF 38 F","500,000","1st","1","9","0%","3","0","0","0"
"*06135*","Luiji Vilain","MIN","LB","1433","FA","25","MIN 29<br/>@CHI 13 F","500,000","1st","1","7","0%","1","0","0","0"
"*05rpw*","Shaun Wade","NE","DB","1502","FA","24","Bye","500,000","1st","1","10","0%","1","0","0","0"
"*05joa*","Chris Williams","IND","DL","1529","FA","24","HOU 32<br/>@IND 31 F","500,000","1st","1","14","0%","3","0","0","0"
"*04yoj*","Chase Winovich","CLE","DL","959","FA","27","CLE 14<br/>@PIT 28 F","500,000","9th","1","6","0%","2","0","0","0"
"*03ox6*","Anthony Harris","PHI/DEN","DB","1576","LCS","31","NYG 16<br/>@PHI 22 F","500,000","2nd","0.5","7","38%","3","0","0","0"
"*04ohc*","Kenny Young","TB/NO","LB","1586","FA","28","CAR 10<br/>@NO 7 F","500,000","1st","0.5","14","38%","4","0","0","0"
"*061gb*","Tony Adams","NYJ","DB","1148","FA","24","Bye","500,000","1st","0.5","10","0%","5","0","0","0"
"*04otb*","Olasunkanmi Adeniyi","TEN/PIT","LB","1464","FA","25","Bye","500,000","1st","0.5","","0%","2","0","0","0"
"*04zum*","Marquise Blair","CAR/PHI","DB","1568","FA","25","NYG 16<br/>@PHI 22 F","500,000","1st","0.5","7","0%","3","0","0","0"
"*05rqn*","Joshuah Bledsoe","NE","DB","1569","FA","24","Bye","500,000","1st","0.5","10","0%","2","0","0","0"
"*04clb*","Tashawn Bower","LV","DL","1570","FA","28","KC 31<br/>@LV 13 F","500,000","1st","0.5","","0%","3","0","0","0"
"*05roo*","Bobby Brown","LAR","DL","1274","FA","22","LAR 16<br/>@SEA 19 F","500,000","1st","0.5","7","0%","1","0","0","0"
"*050ew*","Anthony Chesley","TB","DB","1489","FA","27","TB 17<br/>@ATL 30 F","500,000","1st","0.5","11","0%","2","0","0","0"
"*04ohx*","Dane Cruikshank","CHI","DB","1571","FA","27","MIN 29<br/>@CHI 13 F","500,000","1st","0.5","","0%","7","0","0","0"
"*06171*","De'Shaan Dixon","JAX","DL,LB","1572","FA","24","TEN 16<br/>@JAX 20 F","500,000","1st","0.5","11","0%","3","0","0","0"
"*05jio*","Myles Dorn","MIN","DB","1516","FA","24","MIN 29<br/>@CHI 13 F","500,000","1st","0.5","13","0%","4","0","0","0"
"*04zwo*","Ulysees Gilbert","TB","LB","1424","FA","25","TB 17<br/>@ATL 30 F","500,000","1st","0.5","11","0%","1","0","0","0"
"*0617k*","Nathan Landman","ATL","LB","1579","FA","24","TB 17<br/>@ATL 30 F","500,000","1st","0.5","14","0%","7","0","0","0"
"*04cak*","Takkarist McKinley","TEN/LAR/DAL","DL,LB","1580","FA","27","DAL 6<br/>@WAS 26 F","500,000","1st","0.5","9","0%","4","0","0","0"
"*05jd8*","Larrell Murchison","TEN/LAR","DL","1077","FA","25","LAR 16<br/>@SEA 19 F","500,000","1st","0.5","7","0%","3","0","0","0"
"*05rw3*","Amen Ogbongbemiga","LAC","LB","1412","FA","24","LAC 28<br/>@DEN 31 F","500,000","1st","0.5","8","0%","9","0","0","0"
"*040pu*","Kyle Peko","LV","DL","1229","FA","29","KC 31<br/>@LV 13 F","500,000","1st","0.5","6","0%","1","0","0","0"
"*05jt9*","Benning Potoa'e","WAS","DL","1395","FA","26","DAL 6<br/>@WAS 26 F","500,000","1st","0.5","14","0%","1","0","0","0"
"*03omt*","Christian Ringo","NO/BAL","DL","1581","FA","31","Bye","500,000","1st","0.5","10","0%","2","0","0","0"
"*04yoe*","Saivion Smith","DET","DB","1582","FA","25","DET 20<br/>@GB 16 F","500,000","1st","0.5","6","0%","1","0","0","0"
"*04ccb*","Teez Tabor","ATL/SEA","DB","1310","FA","27","LAR 16<br/>@SEA 19 F","500,000","1st","0.5","","0%","4","0","0","0"
"*04ypm*","Deionte Thompson","ARI/JAX","DB","1583","FA","26","TEN 16<br/>@JAX 20 F","500,000","1st","0.5","11","0%","3","0","0","0"
"*0503h*","Daniel Wise","WAS/KC","DL","1584","FA","27","KC 31<br/>@LV 13 F","500,000","1st","0.5","8","0%","8","0","0","0"
"*0616z*","Chandler Wooten","ARI/CAR","LB","1585","FA","23","CAR 10<br/>@NO 7 F","500,000","1st","0.5","13","0%","3","0","0","0"
"*040fp*","Daryl Worley","BAL","DB","1171","FA","28","Bye","500,000","1st","0.5","10","0%","4","0","0","0"
"*05j9n*","Chase Young","WAS","DL","1340","LCS","23","DAL 6<br/>@WAS 26 F","625,000","3rd","0","14","88%","0","0","0","0"
"*04mon*","Harold Landry","TEN","LB","3841","FA","26","TEN 16<br/>@JAX 20 F","500,000","9th","0","6","50%","0","0","0","0"
"*060m5*","Lewis Cine","MIN","DB","2333","SNLR","23","MIN 29<br/>@CHI 13 F","500,000","1st","0","7","38%","3","0","0","0"
"*03cfy*","Anthony Hitchens","(N/A)","LB","3360","FA","30","Bye","500,000","9th","0","","38%","0","0","0","0"
"*04cc8*","Tyus Bowser","BAL","LB","917","FA","27","Bye","500,000","1st","0","10","25%","1","0","0","0"
"*05jcy*","Bryce Hall","NYJ","DB","3149","FA","25","Bye","500,000","1st","0","10","25%","1","0","0","0"
"*02j8f*","Dont'a Hightower","(N/A)","LB","3326","FA","33","Bye","500,000","9th","0","","25%","0","0","0","0"
"*0611l*","James Houston","DET","LB","617","FA","24","DET 20<br/>@GB 16 F","500,000","1st","0","6","25%","0","0","0","0"
"*01tmr*","Linval Joseph","PHI","DL","1109","FA","34","NYG 16<br/>@PHI 22 F","500,000","1st","0","","25%","0","0","0","0"
"*05rql*","Hamsah Nasirildeen","NYJ","LB,DB","1452","FA","24","Bye","500,000","1st","0","10","25%","2","0","0","0"
"*02zsk*","Alec Ogletree","(N/A)","LB","4512","FA","31","Bye","500,000","9th","0","","25%","0","0","0","0"
"*060jw*","David Ojabo","BAL","LB","1336","FA","22","Bye","500,000","1st","0","10","25%","0","0","0","0"
"*04cal*","Tre'Davious White","BUF","DB","836","FA","28","NE 23<br/>@BUF 35 F","500,000","1st","0","7","25%","0","0","0","0"
"*04zv2*","Khari Willis","IND","DB","5934","QBRT","26","HOU 32<br/>@IND 31 F","500,000","2020","0","14","25%","0","0","0","0"
"*03p6z*","Tyrell Adams","IND","LB","1625","FA","30","HOU 32<br/>@IND 31 F","500,000","1st","0","14","12%","0","0","0","0"
"*02zt8*","Robert Alford","(N/A)","DB","1677","FA","34","Bye","500,000","9th","0","","12%","0","0","0","0"
"*04zwi*","Blessuan Austin","(N/A)","DB","1807","FA","26","Bye","500,000","9th","0","","12%","0","0","0","0"
"*03cfp*","Bashaud Breeland","ARI","DB","2078","FA","31","ARI 13<br/>@SF 38 F","500,000","1st","0","13","12%","0","0","0","0"
"*03ohv*","Malcom Brown","(N/A)","DL","2136","FA","29","Bye","500,000","9th","0","","12%","0","0","0","0"
"*02zt5*","Jamie Collins","NE","LB","1490","FA","33","Bye","500,000","1st","0","10","12%","1","0","0","0"
"*03cg8*","Pierre Desir","(N/A)","DB","2620","FA","32","Bye","500,000","9th","0","","12%","0","0","0","0"
"*02jqx*","L.J. Fort","BAL","LB","2885","FA","33","Bye","500,000","9th","0","","12%","0","0","0","0"
